Actual,Predicted,Count
glacier,mountain,91
street,buildings,74
sea,mountain,55
mountain,glacier,53
buildings,street,49
sea,buildings,38
sea,glacier,32
mountain,buildings,26
glacier,sea,26
glacier,buildings,22
forest,street,18
mountain,sea,18
forest,buildings,15
glacier,street,11
street,forest,10
sea,forest,6
street,mountain,5
buildings,sea,5
buildings,glacier,4
glacier,forest,4
buildings,mountain,4
mountain,forest,4
street,sea,3
street,glacier,3
forest,mountain,2
buildings,forest,2
mountain,street,1
sea,street,1
